[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smub
Assignment Type,Sweep
Source Function,voltage
Source Mode,Normal
Measure Function,current
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,4.5 mA
Source Range,2 V
Bias Source Value,Not Applicable
Step/Sweep Start Level,-2.0 V
Step/Sweep Stop Level,2.0 V
Step/Sweep Style,LIN
# of steps / sweep points,100
Measure Range,100 mA
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,100 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smub.nvbuffer1,,
NumReadings,100,,
BaseTimestamp,4/7/56 2:50 PM -0.374471 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Volts),(Amps)
1,0.0,-2.0,-4.678965E-5
2,0.099888,-1.959596,-4.140139E-5
3,0.199889,-1.919192,-4.031658E-5
4,0.299889,-1.878788,-3.93033E-5
5,0.399888,-1.838384,-3.857613E-5
6,0.499888,-1.79798,-3.786087E-5
7,0.599889,-1.757576,-3.709793E-5
8,0.699888,-1.717172,-3.633499E-5
9,0.799888,-1.676768,-3.550053E-5
10,0.899888,-1.636364,-3.452301E-5
11,0.999888,-1.59596,-3.36647E-5
12,1.099889,-1.555556,-3.2866E-5
13,1.199889,-1.515152,-3.181696E-5
14,1.299888,-1.474747,-3.105402E-5
15,1.399888,-1.434343,-3.039837E-5
16,1.499888,-1.393939,-2.968311E-5
17,1.599888,-1.353535,-2.87056E-5
18,1.699889,-1.313131,-2.73943E-5
19,1.799888,-1.272727,-2.678633E-5
20,1.899888,-1.232323,-2.595186E-5
21,1.999888,-1.191919,-2.515316E-5
22,2.099889,-1.151515,-2.439022E-5
23,2.199889,-1.111111,-2.319813E-5
24,2.299889,-1.070707,-2.237558E-5
25,2.399889,-1.030303,-2.13623E-5
26,2.499888,-0.989899,-2.099276E-5
27,2.599889,-0.949495,-1.994371E-5
28,2.699889,-0.9090909,-1.878738E-5
29,2.799888,-0.8686869,-1.839399E-5
30,2.899889,-0.8282828,-1.727343E-5
31,2.999888,-0.7878788,-1.661778E-5
32,3.099889,-0.7474747,-1.538992E-5
33,3.199888,-0.7070707,-1.477003E-5
34,3.299889,-0.6666667,-1.393557E-5
35,3.399888,-0.6262626,-1.313686E-5
36,3.499888,-0.5858586,-1.231432E-5
37,3.599888,-0.5454546,-1.103878E-5
38,3.699888,-0.5050505,-1.028776E-5
39,3.799888,-0.4646465,-9.417534E-6
40,3.899888,-0.4242424,-8.33273E-6
41,3.999889,-0.3838384,-7.212162E-6
42,4.099888,-0.3434343,-6.628037E-6
43,4.199889,-0.3030303,-5.972386E-6
44,4.299888,-0.2626263,-5.114079E-6
45,4.399888,-0.2222222,-3.874302E-6
46,4.499888,-0.1818182,-2.82526E-6
47,4.599888,-0.1414141,-1.811981E-6
48,4.699889,-0.1010101,-1.0252E-6
49,4.799889,-0.06060606,-2.264976E-7
50,4.899888,-0.02020202,6.437302E-7
51,4.999997,0.02020202,1.692772E-6
52,5.099888,0.06060606,2.121925E-6
53,5.199889,0.1010101,2.527237E-6
54,5.299889,0.1414141,3.969669E-6
55,5.399888,0.1818182,4.911423E-6
56,5.499888,0.2222222,6.103516E-6
57,5.599888,0.2626263,7.116795E-6
58,5.699888,0.3030303,7.808208E-6
59,5.799888,0.3434343,8.773804E-6
60,5.899889,0.3838384,8.84533E-6
61,5.999889,0.4242424,9.202958E-6
62,6.099888,0.4646465,1.058579E-5
63,6.199888,0.5050505,1.217127E-5
64,6.299893,0.5454546,1.318455E-5
65,6.399888,0.5858586,1.307726E-5
66,6.499889,0.6262626,1.318455E-5
67,6.599888,0.6666667,1.398325E-5
68,6.699889,0.7070707,1.622439E-5
69,6.799889,0.7474747,1.782179E-5
70,6.899888,0.7878788,1.846552E-5
71,6.999889,0.8282828,1.887083E-5
72,7.099889,0.8686869,1.883507E-5
73,7.199888,0.9090909,1.933575E-5
74,7.299889,0.949495,2.006292E-5
75,7.399888,0.989899,2.143383E-5
76,7.499889,1.030303,2.25544E-5
77,7.599888,1.070707,2.38657E-5
78,7.699889,1.111111,2.450943E-5
79,7.799888,1.151515,2.523661E-5
80,7.899889,1.191919,2.555847E-5
81,7.999889,1.232323,2.676249E-5
82,8.099888,1.272727,2.744198E-5
83,8.199888,1.313131,2.863407E-5
84,8.299889,1.353535,2.936125E-5
85,8.399889,1.393939,3.033876E-5
86,8.499889,1.434343,3.106594E-5
87,8.599889,1.474747,3.167391E-5
88,8.699888,1.515152,3.265142E-5
89,8.799888,1.555556,3.305674E-5
90,8.899888,1.59596,3.414154E-5
91,8.999888,1.636364,3.511906E-5
92,9.099888,1.676768,3.583431E-5
93,9.199889,1.717172,3.684759E-5
94,9.299888,1.757576,3.761053E-5
95,9.399888,1.79798,3.848076E-5
96,9.499888,1.838384,3.910065E-5
